country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989 ,1990 ,1991 ,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AUSTRALIA,269.3,286.6,296.9,336.5,353.0,378.4,403.5,430.7,470.9,494.2,512.6,527.6,521.1,574.4,647.9,647.5,654.1,689.0,703.6,703.3,690.4,666.5,657.6,621.5,635.0,639.0,644.0,661.0,694.0,722.0,737.0,719.0,728.0,759.8,786.9,810.1,830.5,847.4,852.1,874.7,872.5,871.1,921.2,980.0,1003.8,1027.6,1035.1,1051.1,1054.7,1041.7,1059.9,1104.9,1126.1,1133.8
CHINA,122.8,124.5,135.1,164.1,193.1,222.0,285.1,281.6,307.0,412.7,571.0,776.0,890.0,1024.0,1189.0,1328.0,1543.0,1674.0,1839.0,1820.0,1747.0,1665.0,1652.0,1695.0,1750.0,1863.0,1981.0,2112.0,2246.0,2349.0,2305.7,2474.2,2661.3,2962.5,3040.8,3218.2,3539.0,3963.5,3775.6,4169.5,4675.9,4686.1,5038.1,5575.7,6534.8,6710.4,7223.9,7586.7,7971.5,8253.9,8951.2,9409.9,9739.0,10067.8
INDIA,160.8,170.8,180.9,211.0,221.0,251.2,281.3,261.2,311.5,341.6,401.9,422.0,453.0,480.0,467.0,480.0,506.0,546.0,591.0,637.0,648.0,696.0,727.0,768.0,822.0,891.0,947.0,1002.0,1070.0,1168.0,1186.0,1254.5,1312.1,1349.8,1448.3,1564.1,1696.1,1781.1,1849.9,2024.1,2129.4,2219.2,2303.8,2420.2,2576.3,2608.5,2799.4,2999.3,3071.8,3231.1,3305.9,3432.6,3649.4,3698.3
INDONESIA,99.9,110.6,124.7,129.3,138.4,153.5,135.8,126.3,137.4,142.8,145.4,168.0,189.0,218.0,239.0,256.0,265.0,314.0,351.0,377.0,421.0,454.0,469.0,459.0,455.0,475.0,471.0,498.0,538.0,590.0,645.0,685.5,720.4,726.4,768.6,793.0,868.8,949.7,899.0,942.6,1007.4,1037.8,1089.5,1131.9,1220.3,1222.8,1204.2,1244.0,1247.5,1285.8,1332.5,1370.6,1405.7,1430.7
JAPAN,535.1,691.1,868.1,1068.6,1371.7,1622.2,1958.4,2404.3,2799.0,3409.7,3921.3,4341.0,4633.3,5372.7,5247.7,4990.5,5169.3,5406.9,5476.0,5523.1,4992.2,4725.8,4447.9,4479.2,4666.0,4436.0,4503.0,4567.0,4849.0,5058.0,5316.0,5392.0,5484.0,5403.5,5663.7,5693.2,5739.4,5702.1,5507.0,5641.8,5515.4,5411.9,5319.0,5428.6,5318.9,5327.9,5197.3,5039.6,4798.1,4389.8,4455.0,4470.6,4726.2,4544.9
NEW ZEALAND,37.8,41.7,43.2,46.4,52.0,56.2,59.9,62.9,70.0,73.7,80.5,78.7,88.9,93.2,96.2,92.0,96.1,93.9,90.8,91.4,90.2,86.2,84.4,82.7,85.0,82.0,83.0,90.0,94.0,99.0,105.0,103.0,108.0,108.0,119.0,122.3,122.2,126.3,127.0,129.0,134.0,135.0,140.5,145.5,150.2,153.0,154.5,155.8,157.2,150.5,151.8,150.7,149.7,152.7
SOUTH KOREA,118.3,114.3,118.3,122.2,130.1,134.0,141.9,153.7,161.6,177.4,197.1,205.0,213.4,273.0,278.1,304.6,344.6,411.6,469.6,527.6,522.8,519.1,514.4,544.8,554.0,552.0,592.0,627.0,746.0,860.0,1048.0,1263.0,1527.0,1683.8,1840.7,2007.7,2101.1,2255.0,1916.6,2083.8,2135.1,2132.1,2149.3,2175.3,2155.2,2191.3,2180.0,2240.5,2142.2,2188.5,2268.6,2257.8,2300.8,2286.7
THAILAND,18.0,27.5,37.0,46.5,56.0,65.5,75.0,84.6,94.1,103.6,113.1,119.0,137.0,156.0,150.0,157.0,176.0,189.0,210.0,220.0,228.0,218.0,200.0,224.0,235.0,225.0,238.0,258.0,295.0,348.0,425.0,478.2,520.0,539.0,615.6,692.3,773.8,765.8,693.3,726.0,718.5,718.5,756.2,815.8,896.7,910.2,921.8,937.7,911.2,931.1,955.8,998.6,1041.9,1070.9
OTHERS,381.4,426.5,471.7,516.9,562.0,607.2,652.4,697.5,742.7,787.9,833.0,869.0,970.0,1043.0,984.0,1029.0,1086.0,1173.0,1306.0,1377.0,1426.0,1418.0,1446.0,1466.0,1461.0,1478.0,1625.0,1701.0,1854.0,1973.0,2163.0,2143.0,2334.5,2594.4,2760.0,2948.3,3066.3,3260.8,3333.1,3502.7,3491.5,3625.7,3732.2,3709.7,3976.0,4134.2,4197.2,4389.9,4401.4,4401.8,4598.0,4690.8,4763.4,4859.8
TOTAL WORLD,21393.8,22677.4,24587.3,26768.8,28881.7,31041.9,33509.1,35633.3,38796.3,42239.0,46224.1,48605.4,52215.6,56501.4,55672.0,55697.5,59203.0,61727.6,64097.8,65111.0,62940.8,61087.8,59537.4,59181.8,60357.9,60206.9,61937.9,63359.6,65295.9,66308.5,66710.0,67131.5,67481.7,67660.6,68756.9,70049.4,71614.8,73886.9,74161.2,75857.3,76494.6,77250.2,77861.3,79622.3,82842.4,84193.1,85332.7,86642.0,86136.8,84832.8,87275.9,88081.4,88956.6,90005.5
of which,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEC,346.3,363.8,360.1,381.1,428.4,481.9,526.5,570.9,620.0,669.8,709.6,765.5,872.3,1002.1,1104.3,1285.7,1537.9,1767.7,1976.5,2187.6,2563.3,2726.6,2924.0,3149.5,3366.9,3515.6,3576.5,3614.3,3816.5,3814.8,3792.1,3973.8,4200.0,4336.8,4420.8,4440.4,4552.3,4712.4,4867.6,4841.4,5087.9,5278.6,5436.4,5584.7,5991.4,6379.3,6749.6,7022.9,7417.1,7701.5,8096.9,8341.2,8678.2,9031.4
OPEC SHARE,1.6,1.6,1.5,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.5,1.6,1.7,1.8,2.0,2.3,2.6,2.9,3.1,3.4,4.1,4.5,4.9,5.3,5.6,5.8,5.8,5.7,5.8,5.8,5.7,5.9,6.2,6.4,6.4,6.3,6.4,6.4,6.6,6.4,6.7,6.8,7.0,7.0,7.2,7.6,7.9,8.1,8.6,9.1,9.3,9.5,9.8,10.0
OECD,16168.4,17059.5,18448.6,20146.6,21646.1,23296.2,25193.1,26765.9,29203.4,31886.9,34932.1,36554.7,39265.8,42215.5,40698.6,39381.5,41859.1,43404.7,44623.3,44752.9,41957.3,39892.8,38052.2,37378.4,38272.5,37838.0,38934.0,39709.6,41036.7,41706.2,42002.8,42398.1,43363.1,43745.9,44977.4,45461.6,46577.9,47373.8,47564.5,48569.0,48555.2,48594.0,48616.9,49352.5,50214.2,50536.1,50227.7,50125.8,48406.2,46385.5,47019.5,46469.5,45973.5,45902.6
FSU,2268.9,2447.8,2722.5,2909.7,3211.6,3446.1,3690.4,4020.3,4271.1,4550.8,5018.9,5313.0,5749.4,6270.4,6746.8,7544.2,7758.2,8037.6,8327.5,8611.6,8871.2,9046.0,9071.6,9087.5,8993.1,8883.4,8887.8,8922.0,8888.7,8683.3,8520.2,8206.4,6837.3,5717.0,4807.6,4700.8,4269.3,4385.6,4224.7,4007.4,3738.6,3826.4,3632.5,3741.5,3820.0,3836.3,3954.3,4015.0,4079.6,3975.1,4157.6,4291.7,4414.1,4476.9
