country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Others,"1,030.0","1,150.0","1,150.0","1,280.0","1,600.0","1,500.0","1,576.0","1,676.0","1,807.0","1,297.0","1,195.8","1,312.8","1,641.8","1,640.3","1,878.3","1,922.4","1,719.7","2,201.0","1,740.5","1,926.5","1,860.8","2,168.7","1,989.7","1,937.6","1,831.6","1,704.4","1,703.5","1,616.6","1,969.8","2,065.9","2,026.8","2,021.9","2,172.7","2,122.7","2,430.7","2,401.4","2,133.3","2,155.5","2,638.8","2,664.6","3,024.5","3,638.0","3,708.0","3,900.0","4,067.0","4,048.0","2,742.9","2,768.2","2,760.2","2,759.8","2,759.8","2,616.0","2,620.0","2,621.0"
Eastern Europe and Eurasia ,"24,832.8","24,653.0","30,176.5","33,202.0","34,201.0","36,166.0","38,994.0","36,934.0","60,877.5","61,000.0","61,014.0","58,796.0","55,921.0","52,339.0","59,341.0","61,878.0","62,900.0","62,000.0","61,438.0","62,878.0","66,890.0","66,701.0","66,343.0","66,850.0","64,973.0","64,575.0","64,780.0","63,368.5","64,799.6","70,974.8","67,198.0","66,865.0","66,209.0","65,649.8","65,300.4","65,019.8","63,847.6","64,863.9","85,400.3","88,900.6","89,267.6","114,613.8","123,311.9","126,693.9","126,094.9","127,266.0","128,851.7","112,810.7","115,794.7","116,555.7","117,309.7","117,314.0","119,881.0","119,877.0"
Azerbaijan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,178.0","1,178.0","1,178.0","1,178.0","1,178.0","7,000.0","7,000.0","7,000.0","7,000.0","7,000.0","7,000.0","7,000.0","7,000.0","7,000.0","7,000.0","7,000.0","7,000.0","7,000.0"
Belarus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0
Kazakhstan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"5,417.0","5,417.0","25,020.0","25,020.0","25,020.0","39,620.0","39,620.0","39,620.0","39,620.0","39,828.0","39,828.0","30,000.0","30,000.0","30,000.0","30,000.0","30,000.0","30,000.0","30,000.0"
Russia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"54,086.0","55,143.0","55,757.0","59,217.0","59,639.0","64,578.0","73,949.0","77,345.0","76,772.0","77,712.0","79,306.0","72,970.0","75,954.0","76,650.0","77,403.0","77,403.0","80,000.0","80,000.0"
Turkmenistan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
Ukraine,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0
Uzbekistan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0
Others 2,"24,832.8","24,653.0","30,176.5","33,202.0","34,201.0","36,166.0","38,994.0","36,934.0","60,877.5","61,000.0","61,014.0","58,796.0","55,921.0","52,339.0","59,341.0","61,878.0","62,900.0","62,000.0","61,438.0","62,878.0","66,890.0","66,701.0","66,343.0","66,850.0","64,973.0","64,575.0","64,780.0","63,368.5","64,799.6","70,974.8","67,198.0","66,865.0","66,209.0","65,649.8","65,300.4","65,019.8","1,433.6","1,392.9","1,712.3","1,752.6","1,697.6","1,682.8","1,009.9",995.9,969.9,993.0,930.7,"1,053.7","1,053.7","1,118.7","1,119.7","1,124.0","1,094.0","1,090.0"
Western Europe ,"1,810.0","1,824.0","1,904.0","2,295.0","2,755.0","2,585.0","2,425.1","2,771.0","2,637.0","2,433.0","6,926.0","7,626.0","10,555.0","17,489.5","17,751.0","19,425.0","17,953.8","18,664.5","17,150.0","17,192.4","16,374.0","15,308.7","14,757.3","15,622.8","15,014.8","14,673.6","16,110.1","17,125.8","16,625.5","16,241.4","16,933.9","17,112.9","17,730.9","17,712.1","19,672.8","21,267.9","18,988.8","19,123.6","18,459.1","18,856.8","19,279.7","19,498.2","18,308.8","17,923.9","17,173.9","16,951.9","15,368.5","15,005.5","14,318.1","13,318.1","13,416.1","11,722.0","11,559.0","12,267.0"
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,248.5,247.0,245.0,300.0,300.0,300.0,375.0,450.0,371.0,327.0,308.0,465.0,447.0,403.0,403.0,541.0,629.0,591.0,616.0,748.0,704.0,755.0,912.0,862.0,943.0,881.0,906.0,"1,113.0","1,346.0","1,277.0","1,277.0","1,327.0","1,277.0","1,157.0","1,113.0","1,113.0","1,060.0",812.0,900.0,805.0,805.0
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,000.0","2,000.0","2,000.0","4,000.0","7,300.0","7,000.0","5,660.0","6,000.0","5,900.0","5,750.0","4,962.0","4,597.0","4,484.0","5,824.0","6,012.0","6,082.0","7,982.0","9,259.0","9,485.0","9,353.0","9,951.0","9,894.0","10,122.0","10,194.0","12,277.0","13,612.0","11,280.0","10,913.0","10,366.0","10,921.0","11,373.0","11,597.0","10,448.0","10,149.0","9,722.0","9,697.0","8,548.0","8,168.0","7,491.0","7,078.0","7,078.0","5,320.0","5,366.0","5,825.0"
United Kingdom,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,9.0,9.0,"2,500.0","3,000.0","6,000.0","10,900.0","7,725.0","9,827.0","9,896.0","10,070.0","8,735.0","8,755.0","8,438.0","7,875.0","7,463.0","6,938.0","6,000.0","5,625.0","5,325.0","5,175.0","4,275.0","3,825.0","4,013.0","4,163.0","4,575.0","4,538.0","4,313.0","4,538.0","4,988.0","5,175.0","5,138.0","4,988.0","4,725.0","4,538.0","4,463.0","4,283.0","3,998.0","3,870.0","3,593.0","3,593.0","3,590.0","3,100.0","2,800.0","2,800.0","2,800.0","2,979.0"
Others,"1,805.0","1,819.0","1,899.0","2,290.0","2,750.0","2,580.0","2,420.1","2,761.0","2,628.0","2,424.0","2,426.0","2,376.0","2,305.0","2,341.0","2,479.0","2,353.0","2,097.8","2,294.5","2,215.0","2,312.4","2,524.0","2,465.7","2,483.3","2,552.8","2,537.8","2,519.6","2,400.1","2,288.8","2,324.5","2,434.4","2,378.9","2,439.9","2,285.9","2,276.1","2,327.8","2,205.9","1,858.8","2,092.6","2,074.1","2,041.8","2,068.7","2,017.2","2,120.8","2,214.9","2,126.9","2,107.9","2,070.5","2,131.5","2,124.1","2,080.1","2,726.1","2,702.0","2,588.0","2,658.0"
Middle East ,"183,060.0","188,104.0","193,828.0","207,004.0","211,434.0","214,838.0","234,607.0","248,451.0","270,050.0","332,847.0","336,221.0","346,377.4","350,046.0","349,950.9","403,358.2","387,071.0","380,169.4","376,766.3","370,715.0","362,655.3","362,910.0","365,244.0","388,591.6","397,053.3","431,005.8","431,927.7","537,183.6","567,268.3","653,829.6","661,348.2","660,018.9","660,470.8","661,317.0","661,471.0","663,751.6","663,380.4","673,932.4","674,429.3","675,456.2","676,386.9","692,978.9","697,038.3","728,957.3","744,815.3","748,422.6","751,689.6","754,615.5","750,618.5","752,257.5","752,079.4","794,265.4","796,855.0","798,832.0","803,182.0"
"Iran, I.R.","35,000.0","35,000.0","37,000.0","37,000.0","38,000.0","40,000.0","44,200.0","43,800.0","54,000.0","55,000.0","60,000.0","58,344.0","65,000.0","62,861.0","66,000.0","64,500.0","63,000.0","62,000.0","60,088.0","58,833.0","58,296.0","57,020.0","56,148.0","55,257.0","58,874.0","59,000.0","92,860.0","92,860.0","92,860.0","92,860.0","92,850.0","92,860.0","92,860.0","92,860.0","94,300.0","93,700.0","92,600.0","92,600.0","93,700.0","93,100.0","99,530.0","99,080.0","130,690.0","133,250.0","132,460.0","136,270.0","138,400.0","136,150.0","137,620.0","137,010.0","151,170.0","154,580.0","157,300.0","157,800.0"
Iraq,"27,000.0","26,500.0","26,000.0","25,500.0","25,000.0","25,000.0","24,000.0","23,500.0","28,000.0","27,500.0","32,000.0","35,990.0","29,000.0","31,500.0","35,000.0","34,300.0","34,000.0","34,500.0","32,100.0","31,000.0","30,000.0","32,000.0","59,000.0","65,000.0","65,000.0","65,000.0","72,000.0","100,000.0","100,000.0","100,000.0","100,000.0","100,000.0","100,000.0","100,000.0","100,000.0","100,000.0","112,000.0","112,500.0","112,500.0","112,500.0","112,500.0","115,000.0","115,000.0","115,000.0","115,000.0","115,000.0","115,000.0","115,000.0","115,000.0","115,000.0","143,100.0","141,350.0","140,300.0","144,211.0"
Kuwait,"65,000.0","65,000.0","66,725.0","68,500.0","69,225.0","68,700.0","75,200.0","76,750.0","76,500.0","74,500.0","79,950.0","78,198.0","72,900.0","72,750.0","81,450.0","71,200.0","70,550.0","70,100.0","69,440.0","68,530.0","67,930.0","67,730.0","67,150.0","67,000.0","92,710.0","92,464.0","94,522.1","94,525.0","94,525.0","97,125.0","97,025.0","96,500.0","96,500.0","96,500.0","96,500.0","96,500.0","96,500.0","96,500.0","96,500.0","96,500.0","96,500.0","96,500.0","96,500.0","99,000.0","101,500.0","101,500.0","101,500.0","101,500.0","101,500.0","101,500.0","101,500.0","101,500.0","101,500.0","101,500.0"
Oman,0.0,0.0,0.0,0.0,500.0,500.0,500.0,"2,500.0","2,500.0","5,000.0","4,000.0","5,200.0","5,000.0","5,250.0","6,000.0","5,900.0","5,800.0","5,650.0","2,500.0","2,400.0","2,493.0","2,908.0","2,991.0","3,500.0","3,852.0","4,026.0","3,972.0","4,088.0","4,119.0","4,269.0","4,361.0","4,471.0","4,748.0","4,970.0","5,138.0","5,172.0","5,238.0","5,400.0","5,400.0","5,700.0","5,848.0","5,900.0","5,706.0","5,572.0","5,572.0","5,572.0","5,572.0","5,572.0","5,572.0","5,500.0","5,500.0","5,500.0","5,500.0","5,500.0"
Qatar,"2,500.0","2,750.0","3,000.0","2,950.0","3,500.0","3,000.0","4,000.0","3,750.0","3,875.0","5,500.0","4,300.0","6,000.0","7,000.0","6,500.0","6,000.0","5,850.0","5,700.0","5,600.0","4,000.0","3,760.0","3,585.0","3,450.0","3,425.0","3,330.0","4,500.0","4,500.0","4,500.0","4,500.0","4,500.0","4,500.0","2,993.0","2,993.0","3,121.0","3,121.0","3,500.0","3,700.0","3,700.0","3,700.0","3,700.0","3,700.0","13,157.0","15,207.0","15,207.0","26,089.0","25,494.0","25,288.0","26,185.0","25,090.0","25,405.0","25,381.9","25,381.9","25,382.0","25,244.0","25,244.0"
Saudi Arabia,"53,000.0","55,000.0","55,750.0","65,000.0","66,750.0","66,200.0","72,500.0","81,450.0","84,500.0","146,500.0","141,350.0","139,609.4","146,000.0","143,227.4","173,150.0","170,567.5","167,428.2","164,070.3","168,940.0","166,480.0","168,030.0","167,850.0","165,483.7","168,847.5","171,710.0","171,490.0","169,743.8","169,585.0","254,989.0","260,050.0","260,342.0","260,936.0","261,203.0","261,355.0","261,374.0","261,450.0","261,444.0","261,541.0","261,542.0","262,784.0","262,766.0","262,697.0","262,790.0","262,730.0","264,310.0","264,211.0","264,251.0","264,209.0","264,063.0","264,590.0","264,516.0","265,405.0","265,850.0","265,789.0"
Syrian Arab Rep.,50.0,100.0,100.0,300.0,500.0,"1,200.0","1,500.0","1,500.0","1,500.0","1,500.0","1,200.0","1,900.0","2,000.0","2,000.0","1,500.0","2,240.0","2,200.0","2,150.0","2,080.0","2,000.0","1,940.0","1,900.0","1,842.0","1,593.0","1,699.0","1,802.0","1,742.0","2,409.0","2,599.0","2,321.0","2,244.0","2,511.0","2,698.0","2,505.0","2,640.0","2,558.0","2,450.0","2,345.0","2,300.0","2,300.0","2,325.0","2,325.0","2,280.0","2,395.0","3,159.0","3,000.0","3,000.0","2,500.0","2,500.0","2,500.0","2,500.0","2,500.0","2,500.0","2,500.0"
United Arab Emirates,250.0,"3,500.0","5,000.0","7,500.0","7,700.0","10,000.0","12,500.0","15,000.0","19,000.0","17,000.0","12,783.0","20,502.0","22,768.0","25,500.0","33,920.0","32,200.0","31,200.0","32,425.0","31,316.0","29,411.3","30,410.0","32,176.0","32,354.0","32,340.0","32,490.0","32,990.0","97,203.0","98,105.0","98,105.0","98,105.0","98,100.0","98,100.0","98,100.0","98,100.0","98,100.0","98,100.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0","97,800.0"
"Middle East, Other",260.0,254.0,253.0,254.0,259.0,238.0,207.0,201.0,175.0,347.0,638.0,634.0,378.0,362.5,338.2,313.5,291.2,271.0,251.0,241.0,226.0,210.0,197.9,185.8,170.8,655.7,640.7,"1,196.3","2,132.6","2,118.2","2,103.9","2,099.8","2,087.0","2,060.0","2,199.6","2,200.4","2,200.4","2,043.3","2,014.2","2,002.9","2,552.9","2,529.3","2,984.3","2,979.3","3,127.6","3,048.6","2,907.5","2,797.5","2,797.5","2,797.5","2,797.5","2,838.0","2,838.0","2,838.0"
Africa ,"7,999.5","9,609.5","12,275.0","16,325.0","19,515.0","23,195.5","32,609.6","42,436.8","44,567.9","48,384.8","51,107.0","54,634.6","59,247.9","61,569.1","60,479.1","59,085.7","55,019.1","53,718.0","52,883.6","53,221.3","52,643.2","56,011.6","57,698.8","57,324.4","56,602.2","56,217.6","56,765.6","57,290.2","57,814.6","58,072.9","58,598.7","60,242.5","61,138.5","61,202.5","63,924.1","71,515.1","74,084.6","74,404.5","77,022.5","84,570.4","93,307.2","102,159.5","107,189.3","111,857.2","113,183.6","117,371.8","118,794.4","122,525.4","123,384.0","123,648.0","125,623.0","126,474.0","128,371.0","128,149.0"
Algeria,"5,200.0","5,500.0","6,500.0","7,000.0","7,500.0","7,400.0","7,250.0","6,900.0","7,000.0","8,000.0","8,098.0","9,840.0","9,750.0","7,640.0","7,700.0","7,370.0","6,800.0","6,600.0","6,300.0","8,440.0","8,200.0","8,080.0","9,440.0","9,220.0","9,000.0","8,820.0","8,800.0","8,564.0","9,200.0","9,236.0","9,200.0","9,200.0","9,200.0","9,200.0","9,979.0","9,979.0","10,800.0","11,200.0","11,314.0","11,314.0","11,314.0","11,314.0","11,314.0","11,800.0","11,350.0","12,270.0","12,200.0","12,200.0","12,200.0","12,200.0","12,200.0","12,200.0","12,200.0","12,200.0"
Angola,30.0,30.0,50.0,200.0,200.0,196.0,193.0,500.0,500.0,500.0,500.0,803.0,"1,200.0","1,500.0","1,439.0","1,380.0","1,331.0","1,267.0","1,207.0","1,200.0","1,375.0","1,108.0","1,457.0","1,715.0","2,147.0","2,018.0","1,400.0","2,000.0","2,000.0","2,074.0","1,625.0","1,450.0","1,334.0","1,901.0","2,965.0","3,125.0","3,695.0","3,900.0","4,030.0","5,050.0","5,972.0","6,500.0","8,900.0","8,801.0","9,035.0","9,050.0","9,330.0","9,500.0","9,500.0","9,500.0","9,055.0","9,055.0","9,055.0","9,011.0"
Egypt,550.0,710.0,720.0,"1,500.0","1,500.0","2,000.0",944.0,"1,400.0","2,100.0","5,000.0","4,500.0","4,000.0","5,200.0","5,125.0","3,700.0","3,900.0","1,950.0","2,450.0","3,200.0","3,100.0","2,880.0","3,990.0","3,820.0","3,820.0","3,250.0","3,203.0","3,309.0","3,335.0","3,331.0","3,318.0","3,453.0","3,376.0","3,439.0","3,100.0","3,265.0","3,115.0","3,000.0","2,924.0","3,757.0","3,767.0","3,627.0","3,668.0","3,525.0","3,525.0","3,620.0","3,720.0","3,720.0","4,070.0","4,340.0","4,300.0","4,400.0","4,400.0","4,400.0","4,400.0"
Gabon,50.0,50.0,80.0,100.0,250.0,275.0,400.0,500.0,480.0,500.0,485.0,725.0,760.7,760.7,652.1,579.6,586.8,543.4,599.9,434.7,470.9,463.5,481.8,547.3,518.1,677.5,733.0,960.0,930.0,959.0,860.0,876.0,768.0,662.0,"1,400.0","1,470.0","2,800.0","2,672.0","2,565.0","2,565.0","2,420.0","2,400.0","2,370.0","2,285.0","2,190.0","2,146.0","1,995.0","1,995.0","1,995.0","2,000.0","2,000.0","2,000.0","2,000.0","2,000.0"
Libya,"2,000.0","3,000.0","4,500.0","7,000.0","9,000.0","10,000.0","20,000.0","29,200.0","30,000.0","28,866.0","27,655.0","26,648.0","25,829.0","25,036.0","24,481.0","23,942.0","23,236.0","22,484.0","21,761.0","20,999.0","20,330.0","22,600.0","22,186.0","21,784.0","21,425.0","21,300.0","22,800.0","22,800.0","22,800.0","22,800.0","22,800.0","22,800.0","22,800.0","22,800.0","22,800.0","29,500.0","29,500.0","29,500.0","29,500.0","29,500.0","36,000.0","36,000.0","36,000.0","39,126.0","39,126.0","41,464.0","41,464.0","43,663.4","44,271.0","46,422.0","47,097.0","48,014.0","48,472.0","48,363.0"
Nigeria,150.0,300.0,400.0,500.0,"1,000.0","3,000.0","3,500.0","3,550.0","4,000.0","5,000.0","9,300.0","11,680.0","15,000.0","20,000.0","20,900.0","20,200.0","19,445.0","18,700.0","18,200.0","17,400.0","16,700.0","16,500.0","16,750.0","16,550.0","16,650.0","16,600.0","16,066.0","15,980.0","16,000.0","16,000.0","17,100.0","20,000.0","20,990.5","20,990.5","20,990.5","20,828.0","20,828.0","20,828.0","22,500.0","29,000.0","29,000.0","31,506.0","34,349.0","35,254.9","35,876.2","36,220.0","37,200.0","37,200.0","37,200.0","37,200.0","37,200.0","37,200.0","37,139.0","37,070.0"
Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,262.1,262.1,262.1,600.0,"6,000.0","6,000.0","6,000.0","6,405.0","6,402.0","6,615.0","6,700.0","6,700.0","5,000.0","5,000.0","5,000.0","5,000.0","5,000.0"
