Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,13.210000,13.280000,12.500000,12.880000,12.880000,0
2019-03-18,13.130000,13.800000,13.000000,13.100000,13.100000,0
2019-03-19,12.890000,13.770000,12.370000,13.560000,13.560000,0
2019-03-20,13.540000,14.300000,13.050000,13.910000,13.910000,0
2019-03-21,14.110000,14.560000,13.260000,13.630000,13.630000,0
2019-03-22,13.770000,17.520000,13.620000,16.480000,16.480000,0
2019-03-25,17.760000,17.850000,16.260000,16.330000,16.330000,0
2019-03-26,16.219999,16.299999,14.670000,14.680000,14.680000,0
2019-03-27,14.520000,16.709999,14.510000,15.150000,15.150000,0
2019-03-28,15.380000,15.620000,14.410000,14.430000,14.430000,0
2019-03-29,14.190000,14.430000,13.640000,13.710000,13.710000,0
2019-04-01,13.900000,14.010000,13.320000,13.400000,13.400000,0
2019-04-02,13.620000,13.680000,13.130000,13.360000,13.360000,0
2019-04-03,13.060000,14.270000,12.850000,13.740000,13.740000,0
2019-04-04,13.840000,14.030000,13.400000,13.580000,13.580000,0
2019-04-05,13.460000,13.470000,12.170000,12.820000,12.820000,0
2019-04-08,13.550000,13.770000,13.100000,13.180000,13.180000,0
2019-04-09,13.460000,14.390000,13.310000,14.280000,14.280000,0
2019-04-10,14.090000,14.290000,13.270000,13.300000,13.300000,0
2019-04-11,13.370000,13.580000,12.910000,13.020000,13.020000,0
2019-04-12,12.960000,12.960000,11.950000,12.010000,12.010000,0
2019-04-15,12.460000,12.470000,12.240000,12.380000,12.380000,0
